Actual Track Score,CNN Prediction,Random Forest Prediction,XGBoost Prediction
24.6,21.37975,51.206771719468286,55.862297
50.5,65.76202,34.654404257076266,41.321007
50.5,33.969315,46.61000467933666,60.67033
28.8,10.115767,39.53678304101997,50.891922
80.0,69.62387,56.11705190673672,65.75684
57.6,46.742794,34.164710741074835,36.972595
32.9,38.806225,65.1621042614618,66.66349
27.5,25.686285,51.59290298786198,50.366558
53.9,50.10689,53.14605365173866,55.17812
41.3,64.19066,53.23991949257088,72.969765
70.2,43.90749,52.60567943903676,52.718197
25.0,27.083351,55.37708038367057,49.79185
26.0,19.58856,51.709215141251704,52.283207
23.2,26.157875,46.22749266201384,46.513256
47.9,26.02548,44.50079275578869,45.265144
21.6,17.591627,53.25767534429794,49.1795
29.2,44.993122,52.33502929865063,62.309124
29.8,30.883362,40.667441281324955,35.599224
20.2,24.127108,36.46198772738481,41.146652
36.9,33.2923,42.106247336643094,34.756973
100.8,117.12933,52.954191905807924,57.17987
30.0,30.780453,53.834560242559895,53.06886
34.7,35.255627,57.4504462226005,64.192764
27.5,40.51475,44.622470497699524,38.49486
25.1,23.616964,53.09258712216329,51.07873
41.4,43.17227,38.4973664276015,46.36722
31.5,30.879866,48.99684168735265,62.708897
34.2,50.00364,39.10575070844567,35.961395
23.8,30.029642,54.27366314929827,51.51881
87.2,55.34499,41.144522618139234,44.9989
68.7,47.881344,40.97435220187485,46.175064
26.9,16.802326,58.62088065141537,61.234123
22.1,27.186695,49.49025096327933,47.909126
25.7,25.54368,47.15583521518397,45.878105
